seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,S-mid,298fb48797a0a2a2c0980d1cc688c832640e89f0,1,c011f6de14b140b50debc264638115e1ab5dd98f,42e8e889f05175cffd549582812d7c036f6ff3ac,31750.047633,true,83,3717.675422,5100.091468
2,moi_v1,IcyCore,S-mid,298fb48797a0a2a2c0980d1cc688c832640e89f0,3,6a9c2868431848ae719eeac8fa0049670ec397b1,63373206ae49d3fa3adc0b9a0f5492c8f2f69481,5915.646247,false,32,4744.273356,7972.499255
3,moi_v1,IcyCore,S-mid,298fb48797a0a2a2c0980d1cc688c832640e89f0,2,44adbe70738a38fb30adfdd3a509c55bfe81abdb,4d6822c4587ca73ba59e6c42a79684dca0207dc4,11279.897440,true,71,5246.620190,11122.928008
