seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,b1acb7546f45e5472dbbfc78c62bc2e4099fcd13,3102.428651,false,3,2213.598199,39609.419205
2,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,2,16abd7b05126e147f46d778a47232a3ecac66751,389073aae6e21378579c4265ba9c205755b92d5d,18239.534312,true,2,0.000000,58911.306428
3,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,3,a39513c81f04ecdb62aef1901983be50dfde49ef,a78ee8649fadc15d98cdcff21db80c8b448d7db0,30694.880697,true,4,4017.268280,44173.231198
4,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,6,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,e71a36dc702d17e785d976d05b9538e6cf9b2e29,24295.172232,true,3,4828.367425,61589.827658
5,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,1,d89569c400954bb2db446b5bb62f87735febc013,08f75b829835c075b40bf83b353fb59db7a14a6e,20510.141428,true,7,5655.075761,55384.012830
6,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,4,2d0bef500e8438546cae484cd16e151331c4365b,a7b7073a3738b356cbb926bdea3d86a3e5893b95,19089.535282,true,27,9054.534561,50378.966439
