seq,from_cluster,to_cluster,distance_ly
2,34cc69679bc1e8586249f7ef78140b8b5699ceb0,16abd7b05126e147f46d778a47232a3ecac66751,18239.534312
3,16abd7b05126e147f46d778a47232a3ecac66751,a39513c81f04ecdb62aef1901983be50dfde49ef,30694.880697
4,a39513c81f04ecdb62aef1901983be50dfde49ef,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,24295.172232
5,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,d89569c400954bb2db446b5bb62f87735febc013,20510.141428
6,d89569c400954bb2db446b5bb62f87735febc013,2d0bef500e8438546cae484cd16e151331c4365b,19089.535282
