cluster_id,size,centroid_x,centroid_y,centroid_z,radius_ly,p90_radius_ly,moi_max,moi_median,min_ring_id
K14_C01,149,1523.848574,-1.873951,2682.753775,8763.263005,4783.650865,0.999993,0.999797,00ffaccdaef3073747d5810a919a7ae8cbe639d3
K14_C02,129,2226.970459,211.613770,26887.345215,15227.929947,6510.406001,0.999996,0.999856,0026cc474fb2b6a8491d1c74d31fea4d2fd824e4
K14_C03,123,-8205.250000,-598.634477,16382.951589,9282.078389,4933.837499,1.000000,0.999848,00f11d327751390761af904dc468866dc70cbfd0
K14_C04,117,-3528.889817,-313.067888,10082.317619,7989.797677,4987.246422,0.999995,0.999787,00d6c9f23d0603e7c90f682b25f3a64fc2012664
K14_C05,106,-8753.089120,-299.680845,22023.128183,8122.045564,5798.712854,0.999996,0.999874,00d1b48fd75b2b877190b22c197f413180d3969b
K14_C06,90,-4595.168218,-235.702793,34675.038231,14320.895427,8126.466199,0.999998,0.999822,01f4839d5a5ddb2c8a1fadfc484827b6a1248329
K14_C07,90,-2226.704514,-36.200347,-1321.715972,12601.341167,6150.541791,0.999995,0.999838,02d71a3039f24a38b47a9bf6a7584e9f1ff818a3
K14_C08,74,3570.329225,-120.722271,18908.434859,9736.411881,5680.181306,1.000000,0.999830,066d6ab5697f9c1d0fd55f843f920720ebb062ab
K14_C09,36,-2412.799479,-66.603299,53131.592014,24211.054625,17568.274198,0.999984,0.999770,037ef65adabf47cc19fade14343ccc044c49745b
K14_C10,22,11741.707386,-149.741477,7415.068182,8635.001242,6702.202523,0.999982,0.999778,0178ae128eda0c350700eb81875fc8ad24eeb25c
K14_C11,22,-23645.073864,86.977273,25087.210227,19100.625896,12121.589907,0.999970,0.999648,056f4edc0d4e636cdce16f51633434f891e5f33f
K14_C12,20,-16942.717187,36.450000,-1008.564062,8214.834168,7666.216586,0.999967,0.999822,0061769f2507e8016d0b89d4012e2350c26e3154
K14_C13,15,24382.591667,-366.150000,23903.200000,15321.825280,14935.797785,0.999989,0.999843,0375ca33ef91f6557bf790bb02e9bb9ddfc1a2a2
K14_C14,7,15242.843750,68.848214,-9310.263393,9432.968165,6570.789548,0.999976,0.999714,500211c14f9e3c5226d8d657fc495baf77490103
