cluster_id,size,centroid_x,centroid_y,centroid_z,radius_ly,p90_radius_ly,moi_max,moi_median,min_ring_id
K13_C01,174,-8938.147989,-516.862069,19403.602910,9448.162693,5019.439961,1.000000,0.999865,00f11d327751390761af904dc468866dc70cbfd0
K13_C02,157,-666.732484,-56.835191,-516.976314,14030.189152,6178.888285,0.999995,0.999803,0208e90b62a23d13081af457fec9e0e42b5cd7e7
K13_C03,120,-5297.319271,-444.090365,11768.762760,8864.491928,5101.189956,0.999995,0.999821,00d6c9f23d0603e7c90f682b25f3a64fc2012664
K13_C04,106,48.744988,0.911851,5944.920696,7175.371184,4949.424992,0.999983,0.999787,00ffaccdaef3073747d5810a919a7ae8cbe639d3
K13_C05,105,-1824.299405,307.019940,26124.056250,7284.767083,5372.775610,0.999997,0.999853,00d1b48fd75b2b877190b22c197f413180d3969b
K13_C06,81,4379.076389,-197.133488,19238.353781,11186.665663,6503.079752,1.000000,0.999831,066d6ab5697f9c1d0fd55f843f920720ebb062ab
K13_C07,70,-4324.543750,-273.359821,35753.610268,10916.199038,7019.318161,0.999998,0.999819,01f4839d5a5ddb2c8a1fadfc484827b6a1248329
K13_C08,54,5313.909722,37.777199,29543.992477,14645.839127,6091.025152,0.999995,0.999875,0026cc474fb2b6a8491d1c74d31fea4d2fd824e4
K13_C09,36,10637.531250,19.757812,1140.048611,18513.584429,11792.314293,0.999982,0.999795,0178ae128eda0c350700eb81875fc8ad24eeb25c
K13_C10,32,-52.642578,-64.583984,53429.589844,18370.516111,14698.676159,0.999984,0.999814,037ef65adabf47cc19fade14343ccc044c49745b
K13_C11,27,-20552.935185,2.277778,33013.141204,20099.719657,17885.197458,0.999970,0.999651,141a2ebe1b301c5ecac248daf86db271cadee71d
K13_C12,24,-19548.079427,68.355469,3000.796875,18443.847050,12390.683637,0.999967,0.999817,0061769f2507e8016d0b89d4012e2350c26e3154
K13_C13,14,24873.566964,-315.861607,22926.388393,15854.759277,9422.005150,0.999989,0.999845,0375ca33ef91f6557bf790bb02e9bb9ddfc1a2a2
