seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
26,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,6,c5c02459c65fae5c0d82cca767746aa29ebbef6c,8ceeac4fc322baa0003a71ef7776f757a8d4801c,8448.415008,true,1,0.000000,56971.249872
27,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,1,6d42675bc9983f87049fbb083c8b493ddd531084,141a2ebe1b301c5ecac248daf86db271cadee71d,16597.818951,true,1,0.000000,53543.976292
28,moi_v1,IcyCore,N-mid,c04dac030e89581f5e4434f271a3b7331fb3caba,1,768a04d88bf9a64748adae3606c4528a4dd9e65f,442d6ba64ebd91111cc0bb086a467c50e6f0754d,32292.612972,true,47,6305.836709,36051.464688
29,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,2,62062fd2ae24314c6847f86404d116c12149518c,35383f0581132509dcafa4ed49f8015b2f4598b6,23301.142055,true,9,7272.127199,23445.398431
30,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,3,946c14ed52a7c375063e256a66e2c278672722a7,8ad84cd2922a346de91310c3cae2c1b43fe82190,43808.502638,true,5,8455.727142,19644.693669
31,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,4,3047302e18f9db99f3c1db21a16400d4a9f71546,b39148d0478b2ec187c8971295d5e5fac364a350,52354.983806,true,3,8858.336735,43204.786813
32,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,2,16abd7b05126e147f46d778a47232a3ecac66751,389073aae6e21378579c4265ba9c205755b92d5d,18679.077692,true,2,0.000000,58911.306428
33,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,6,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,e71a36dc702d17e785d976d05b9538e6cf9b2e29,20633.278344,true,3,4828.367425,61589.827658
34,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,4,2d0bef500e8438546cae484cd16e151331c4365b,a7b7073a3738b356cbb926bdea3d86a3e5893b95,14600.120563,true,27,9054.534561,50378.966439
35,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,3,b82e903f83f9b8ef0015d4729f887a7371ff2799,575f5d57294a862abc161ea8c22d8c7f96f80c34,37658.081512,true,10,9463.848647,34957.290250
