seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,2b74ab1642213f494cfb31025b744f58746d016d,19417.657300,true,6,3896.742215,19920.701045
2,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,c1853b8515ea731fb733b07a4fb54e87a936059b,15179.425983,true,6,3691.770145,35234.987791
3,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,3,1670ae55d1cffe3073c2935324167722f9b81ce2,97ee3e9203787aa7b39686a0d8932b5c4f08a7c0,6699.947343,false,3,5747.579783,28538.763407
4,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,1,e36d0f8076007fe1c425a2d6ad2ed6863048bc34,17f393dc5e41d438f66be01a37646fde5d243f60,20104.994450,true,12,6508.212508,28834.748591
5,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,4,3047302e18f9db99f3c1db21a16400d4a9f71546,b39148d0478b2ec187c8971295d5e5fac364a350,19585.183138,true,3,8858.336735,43204.786813
