seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,S-inner,f05b7fcea2fc08604b2b1c033b66d722443e8202,2,b626e8ad1540ac141203b570955f81c5b43a787d,82f41a9b8223577f85238c5f00b6676398084f96,15676.566170,true,38,4062.551501,22878.210825
2,moi_v1,IcyCore,S-inner,f05b7fcea2fc08604b2b1c033b66d722443e8202,1,be670c0c22cc3e18cf02d7d064acaf8c7f05c168,28e9115348b732f7c2291de9fe4e69397ffc486d,7836.826248,false,55,5203.145238,15508.406146
3,moi_v1,IcyCore,S-inner,f05b7fcea2fc08604b2b1c033b66d722443e8202,3,a742a7b56dcd06ceabe15ff6e98bd92ec2df33f7,b061d0ce9521d292235817d91b27274e355aaccd,8142.362507,true,93,4413.212353,16915.530797
