source_url,system_name,planets,status,candidate_count,best_ring_id,best_ring_type,best_moi_final,best_percentile,best_in_icycore,top_candidates,score_version
https://edmining.com/mining-location/lp-847-48/,LP 847-48,6,MATCHED,1,55fb320003e5a575d3124bb3c6a2e0f1dce650d5,Icy,0.113667,0.230580,0,55fb320003e5a575d3124bb3c6a2e0f1dce650d5:0.113667:Icy,moi_v1
https://edmining.com/mining-location/nyeajaae-oi-l-b14-23/,Nyeajaae OI-L b14-23,11A,NOT_FOUND,0,,,,,0,,moi_v1
https://edmining.com/mining-location/phroea-phio-ce-l-b14-7/,Phroea Phio CE-L B14-7,1,MATCHED_MULTIPLE,2,298cc20dbdc6aca17d9945014fd4bda96978c3e8,Icy,0.907346,0.985233,0,298cc20dbdc6aca17d9945014fd4bda96978c3e8:0.907346:Icy; 555874257bb6d15d58864b13e146a7f884f84fde:0.665464:Rocky,moi_v1
https://edmining.com/mining-location/plio-eurl-vs-x-b42-5/,Plio Eurl VS-x b42-5,A1,MATCHED,1,f5672f518da8cef9a19f3677e047b2862e4931d2,Icy,0.797164,0.848577,0,f5672f518da8cef9a19f3677e047b2862e4931d2:0.797164:Icy,moi_v1
https://edmining.com/mining-location/ploi-aec-ab-e-b26-1/,Ploi Aec AB-E b26-1,AB2,MATCHED,1,48e2a608d6bcc31674abaa2632c49d94b97edf54,Icy,0.736594,0.789306,0,48e2a608d6bcc31674abaa2632c49d94b97edf54:0.736594:Icy,moi_v1
https://edmining.com/mining-location/ploi-aec-hm-u-d3-3/,PLOI AEC HM-U D3-3,B 6,MATCHED,1,4546c887e60b6ce7991543a23a9c8acc815310fd,Icy,0.110392,0.225279,0,4546c887e60b6ce7991543a23a9c8acc815310fd:0.110392:Icy,moi_v1
https://edmining.com/mining-location/praea-euq-jv-g-c10-26/,Praea Euq JV-G c10-26,12,MATCHED,1,03046bdec8ec7517bb95eee7bbf36f4547ec6e28,Icy,0.042803,0.086093,0,03046bdec8ec7517bb95eee7bbf36f4547ec6e28:0.042803:Icy,moi_v1
https://edmining.com/mining-location/prai-hypoo-ob-c-c1-7/,Prai Hypoo OB-C c1-7,5,MATCHED_MULTIPLE,2,98e60204bd592ee662481ecd17c7e1feb0ed12a5,Icy,0.861468,0.939678,0,98e60204bd592ee662481ecd17c7e1feb0ed12a5:0.861468:Icy; 02f9471f9161dc5a8ab0d887691cc2680058fe06:0.705532:Rocky,moi_v1
https://edmining.com/mining-location/preia-phoe-cm-p-b37-9/,Preia Phoe CM-P b37-9,A5,MATCHED,1,29c15cf0f66c224f4504de248de3f3902dee2f71,Icy,0.139275,0.265747,0,29c15cf0f66c224f4504de248de3f3902dee2f71:0.139275:Icy,moi_v1
https://edmining.com/mining-location/pyramio-uf-v-b7-4/,Pyramio UF-V b7-4,AB 6,MATCHED_MULTIPLE,2,18c3d62b0b3c1eb49e54adcd00490059797b1884,Icy,0.633730,0.711320,0,18c3d62b0b3c1eb49e54adcd00490059797b1884:0.633730:Icy; a92b31c2dd611b455b7609e4433185f71d93f70c:0.431159:Metal Rich,moi_v1
https://edmining.com/mining-location/shaulua-zg-r-b48-0/,Shaulua ZG-R B48-0,B 2,MATCHED_MULTIPLE,2,59db184aaa8f9db348f306b6ec87537bd7037599,Icy,0.856182,0.932897,0,59db184aaa8f9db348f306b6ec87537bd7037599:0.856182:Icy; 5efd719e7737ea43efd58b93ecc106c3ba1a16a0:0.751143:Metal Rich,moi_v1
https://edmining.com/mining-location/synuefae-fe-g-b3-0/,Synuefae FE-G b3-0,5,MATCHED,1,dd4294ada00beff61db5c540ee322b987f3cf940,Icy,0.230006,0.349426,0,dd4294ada00beff61db5c540ee322b987f3cf940:0.230006:Icy,moi_v1
https://edmining.com/mining-location/synuefe-fn-i-c26-4/,Synuefe FN-I c26-4,Synuefe PG-P b53-1 10,NOT_FOUND,0,,,,,0,,moi_v1
https://edmining.com/mining-location/synuefe-st-z-c16-17/,Synuefe ST-Z c16-17,AB 4,MATCHED_MULTIPLE,2,3c42ca5acd1f797669cb0170b00596ad41468d7d,Icy,0.917375,0.991102,0,3c42ca5acd1f797669cb0170b00596ad41468d7d:0.917375:Icy; 7ab51ba9b75302f1ee04a12db81695676f9abd93:0.724524:Rocky,moi_v1
https://edmining.com/mining-location/vegnuae-ih-b-c27-610/,Vegnuae IH-B c27-610,2,MATCHED_MULTIPLE,2,2c8d5254b80441d5e30bb9aa44d998fade85bcdb,Icy,0.749658,0.800172,0,2c8d5254b80441d5e30bb9aa44d998fade85bcdb:0.749658:Icy; fdc8838c2f4d0d818286ef25fb7c8d00807790bf:0.558050:Metal Rich,moi_v1
https://edmining.com/mining-location/voqooe-px-j-c25-68/,Voqooe PX-J c25-68,6,MATCHED_MULTIPLE,2,5cf24bb4ae1c0863fe792093c9db8c767bef4cf0,Icy,0.632605,0.710515,0,5cf24bb4ae1c0863fe792093c9db8c767bef4cf0:0.632605:Icy; 71e18b6892ad518bf8d8e99b0d7a2cda1783dcc5:0.494576:Metal Rich,moi_v1
