seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,3813d6a8d15a02fafa283f7b8bf618659903473f,35805.916048,true,116,4681.623912,781.129738
2,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,2,0b43f380f8a0572cfbcf35dae5a567d0295029ab,4446af457d37c6105bd7144f376923ff592b390e,6048.955150,false,35,6350.209592,5838.869374
3,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,4,9fa6f29879a347f72a36b1d99286711879e78209,c896bcc036d32f7ec2779846e6c72fd2a9358ac7,16903.319526,true,13,5857.636608,12481.011760
4,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,5,9daaf582a62e2fa35809dad071eb6dc527bd6239,d6e93125f17ca9cd3540d843a9e9f03cb4a764b2,31636.563117,true,17,7088.146422,17615.531710
5,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,3,946c14ed52a7c375063e256a66e2c278672722a7,8ad84cd2922a346de91310c3cae2c1b43fe82190,37838.241439,true,5,8455.727142,19644.693669
