seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,83b29ef45f92bbd7afe1893945b260bcc2331536,26719.946563,true,35,3476.165109,21456.299082
2,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,2,62062fd2ae24314c6847f86404d116c12149518c,35383f0581132509dcafa4ed49f8015b2f4598b6,7959.200568,false,9,7272.127199,23445.398431
3,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,1,6d42675bc9983f87049fbb083c8b493ddd531084,141a2ebe1b301c5ecac248daf86db271cadee71d,30376.938490,true,1,0.000000,53543.976292
4,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,6,c5c02459c65fae5c0d82cca767746aa29ebbef6c,8ceeac4fc322baa0003a71ef7776f757a8d4801c,16597.818951,true,1,0.000000,56971.249872
5,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,5,8cf0ba92d5e768cc564763974ea34e66f155aba5,8494d137248c2d0a12faffa48e70ed218598f891,22252.955083,true,15,6254.388950,35305.116335
6,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,3,b82e903f83f9b8ef0015d4729f887a7371ff2799,575f5d57294a862abc161ea8c22d8c7f96f80c34,12286.273268,true,10,9463.848647,34957.290250
